Recycle_Schedule,Residual Day,Primary Address Identifier,Secondary Address Identifier,Street,Locality
3,WEDNESDAY,13,,BRIARWOOD,KELVEDON HATCH
8,FRIDAY,41,,SPITAL LANE,BRENTWOOD
8,FRIDAY,42A,,SPITAL LANE,BRENTWOOD
8,FRIDAY,42,,SPITAL LANE,BRENTWOOD
8,FRIDAY,43,,SPITAL LANE,BRENTWOOD
8,FRIDAY,44,,SPITAL LANE,BRENTWOOD
8,FRIDAY,45,,SPITAL LANE,BRENTWOOD
8,FRIDAY,46,,SPITAL LANE,BRENTWOOD
8,FRIDAY,47,,SPITAL LANE,BRENTWOOD
8,FRIDAY,48,,SPITAL LANE,BRENTWOOD
8,FRIDAY,49,,SPITAL LANE,BRENTWOOD
3,WEDNESDAY,14,,BRIARWOOD,KELVEDON HATCH
8,FRIDAY,50,,SPITAL LANE,BRENTWOOD
8,FRIDAY,51,,SPITAL LANE,BRENTWOOD
3,WEDNESDAY,10,,SPRING POND MEADOW,HOOK END
3,WEDNESDAY,12,,SPRING POND MEADOW,HOOK END
3,WEDNESDAY,14,,SPRING POND MEADOW,HOOK END
3,WEDNESDAY,16,,SPRING POND MEADOW,HOOK END
3,WEDNESDAY,18,,SPRING POND MEADOW,HOOK END
3,WEDNESDAY,20,,SPRING POND MEADOW,HOOK END
3,WEDNESDAY,22,,SPRING POND MEADOW,HOOK END
3,WEDNESDAY,24,,SPRING POND MEADOW,HOOK END
3,WEDNESDAY,15,,BRIARWOOD,KELVEDON HATCH
3,WEDNESDAY,26,,SPRING POND MEADOW,HOOK END
3,WEDNESDAY,28,,SPRING POND MEADOW,HOOK END
3,WEDNESDAY,30,,SPRING POND MEADOW,HOOK END
3,WEDNESDAY,34,,SPRING POND MEADOW,HOOK END
3,WEDNESDAY,36,,SPRING POND MEADOW,HOOK END
3,WEDNESDAY,38,,SPRING POND MEADOW,HOOK END
3,WEDNESDAY,40,,SPRING POND MEADOW,HOOK END
3,WEDNESDAY,42,,SPRING POND MEADOW,HOOK END
6,TUESDAY,1,,SPRINGFIELD AVENUE,HUTTON
6,TUESDAY,2,,SPRINGFIELD AVENUE,HUTTON
3,WEDNESDAY,16,,BRIARWOOD,KELVEDON HATCH
6,TUESDAY,3,,SPRINGFIELD AVENUE,HUTTON
6,TUESDAY,4,,SPRINGFIELD AVENUE,HUTTON
6,TUESDAY,5,,SPRINGFIELD AVENUE,HUTTON
6,TUESDAY,6,,SPRINGFIELD AVENUE,HUTTON
6,TUESDAY,7,,SPRINGFIELD AVENUE,HUTTON
6,TUESDAY,8,,SPRINGFIELD AVENUE,HUTTON
6,TUESDAY,9,,SPRINGFIELD AVENUE,HUTTON
6,TUESDAY,10,,SPRINGFIELD AVENUE,HUTTON
6,TUESDAY,11,,SPRINGFIELD AVENUE,HUTTON
6,TUESDAY,12,,SPRINGFIELD AVENUE,HUTTON
3,WEDNESDAY,17,,BRIARWOOD,KELVEDON HATCH
6,TUESDAY,13,,SPRINGFIELD AVENUE,HUTTON
6,TUESDAY,14,,SPRINGFIELD AVENUE,HUTTON
6,TUESDAY,15,,SPRINGFIELD AVENUE,HUTTON
6,TUESDAY,16,,SPRINGFIELD AVENUE,HUTTON
6,TUESDAY,17,,SPRINGFIELD AVENUE,HUTTON
6,TUESDAY,19,,SPRINGFIELD AVENUE,HUTTON
6,TUESDAY,20,,SPRINGFIELD AVENUE,HUTTON
6,TUESDAY,21,,SPRINGFIELD AVENUE,HUTTON
6,TUESDAY,24,,SPRINGFIELD AVENUE,HUTTON
6,TUESDAY,27,,SPRINGFIELD AVENUE,HUTTON
3,WEDNESDAY,18,,BRIARWOOD,KELVEDON HATCH
